,,,,Labels After Replacement,,,,
1045350977283543041,,,,IRNE,IRNE,IRNE,,IRNE
1037840286347677697,,,,IRNE,IRNE,IRNE,,IRNE
1044972729240358912,,,,IRNE,IRNE,IRNE,,IRNE
1045341880576352256,,,,IMFL,IMFL,IMFL,,IMFL
1000637302291517440,,,,IMFL,IMFL,IMFL,,IMFL
1045265429030203392,,,,IRNE,IRNE,IRNE,,IRNE
1031304346221215744,,,,IMFL,IMFL,IMFL,,IMFL
1044971611043041280,,,,IRNE,IRNE,IRNE,,IRNE
1030476427169288193,,,,IMFL,IMFL,IRNE,,IMFL
1005520957920956416,,,,IMFL,IMFL,IMFL,,IMFL
1039542135241023488,,,,IMDS,IMDS,IMFL,,IMDS
983648202175008768,,,,IMFL,IMFL,IMFL,,IMFL
1037405690132881409,,,,IRNE,IRNE,IRNE,,IRNE
993936826019799041,,,,IRNE,IRNE,IRNE,,IRNE
1044835542398119941,,,,IMFL,IMFL,IMFL,,IMFL
1044847961920999424,,,,IMFL,IMFL,IMFL,,IMFL
1031245671817469956,,,,IMFL,IMFL,IMFL,,IMFL
981183581090443264,,,,IRNE,IRNE,IRNE,,IRNE
983990857215938561,,,,IMFL,IMFL,IMFL,,IMFL
1039245924659281921,,,,IRNE,IRNE,IRNE,,IRNE
1023929141161328641,,,,IMFL,IMFL,IMFL,,IMFL
997817226819403776,,,,IMFL,IMFL,IMFL,,IMFL
1031239714433581057,,,,IMFL,IMFL,IMFL,,IMFL
984051549981806592,,,,IMFL,IMFL,IMFL,,IMFL
1041402266144727040,,,,IMFL,IMFL,IMFL,,IMFL
983038369692348416,,,,IMFL,IRNE,IRNE,,IRNE
1035547074270560256,,,,IRNE,IRNE,IRNE,,IRNE
998867161492983814,,,,IRNE,IRNE,IMFL,,IRNE
983058229344301056,,,,IMFL,IMFL,IMFL,,IMFL
982973377924255745,,,,IMFL,IMFL,IMFL,,IMFL
989532831830470658,,,,IMFL,IMFL,IMFL,,IMFL
1005413380583280641,,,,IMFL,IMFL,IMFL,,IMFL
1038008786479407104,,,,IRNE,IRNE,IRNE,,IRNE
1023616229985185792,,,,IMFL,IMFL,IMFL,,IMFL
1037404910285987840,,,,IRNE,IRNE,IRNE,,IRNE
1029128240387031041,,,,IMFL,IMFL,IMFL,,IMFL
1039595849985286144,,,,IRNE,IRNE,IRNE,,IRNE
1000528825409835014,,,,IMFL,IMFL,IMFL,,IMFL
1037723365501534208,,,,IMFL,IMFL,IMFL,,IMFL
998578678287257600,,,,IMFL,IMFL,IMFL,,IMFL
1035931607750856705,,,,IRNE,IRNE,IRNE,,IRNE
990988997496311808,,,,IMFL,IMFL,IMFL,,IMFL
997471473995603968,,,,IMFL,IMDS,IMFL,,IMFL
983715661477236736,,,,IMFL,IMFL,IMFL,,IMFL
1037411486065410049,,,,IMFL,IMFL,IMFL,,IMFL
1022169871067631616,,,,IRNE,IRNE,IRNE,,IRNE
1021849769851924480,,,,IRNE,IRNE,IRNE,,IRNE
1044989446192541696,,,,IRNE,IRNE,IRNE,,IRNE
1001116931410231296,,,,IMFL,IMFL,IMFL,,IMFL
1023609505152749568,,,,IMFL,IMFL,IMFL,,IMFL
983705763238604800,,,,IRNE,IRNE,IRNE,,IRNE
1001702682095243264,,,,IMFL,IMFL,IMFL,,IMFL
999058108805795840,,,,IRNE,IMFL,IRNE,,IRNE
990092704561410049,,,,IRNE,IRNE,IRNE,,IRNE
1038090914324000768,,,,IMFL,IMFL,IMFL,,IMFL
990629295038099457,,,,IMFL,IMFL,IMFL,,IMFL
1031226467949133824,,,,IMFL,IMFL,IMFL,,IMFL
983767321616506880,,,,IMFL,IMFL,IMFL,,IMFL
1045409062358265856,,,,IMFL,IMFL,IMFL,,IMFL
983745237712588801,,,,IMFL,IMFL,IMFL,,IMFL
983705493955805184,,,,IRNE,IRNE,IRNE,,IRNE
1035567894522994688,,,,IMFL,IMFL,IMFL,,IMFL
1037240264816033792,,,,IRNE,IMFL,IMFL,,IMFL
998193394030661638,,,,IMFL,IMFL,IMFL,,IMFL
984750328913555457,,,,IMFL,IMFL,IMFL,,IMFL
1000544537310367744,,,,IMFL,IMFL,IMFL,,IMFL
997744445297700864,,,,IMFL,IMFL,IMFL,,IMFL
997633120265523201,,,,IMFL,IMFL,IMFL,,IMFL
990229230461030400,,,,IMFL,IMFL,IMFL,,IMFL
980766708938964992,,,,IMFL,IMFL,IMFL,,IMFL
1031238590796312577,,,,IMFL,IMFL,IMFL,,IMFL
1037447177046552578,,,,IRNE,IRNE,IRNE,,IRNE
1045774663887060993,,,,IMFL,IMFL,IMFL,,IMFL
999068632326995968,,,,IRNE,IRNE,IRNE,,IRNE
1039593729735237632,,,,IRNE,IRNE,IRNE,,IRNE
1039598593517211649,,,,IMFL,IMFL,IMFL,,IMFL
1044983356583227392,,,,IMFL,IMFL,IMFL,,IMFL
984038012530110464,,,,IMFL,IMFL,IMFL,,IMFL
1044604658365485056,,,,IMFL,IMFL,IMFL,,IMFL
1037440941752311808,,,,IRNE,IMFL,IRNE,,IRNE
1031243279390715906,,,,IMFL,IMFL,IMFL,,IMFL
988027891693899777,,,,IMFL,IMFL,IMFL,,IMFL
1044988690303528960,,,,IMFL,IMFL,IMFL,,IMFL
981919169364054017,,,,IMFL,IMFL,IMFL,,IMFL
1031262621050306560,,,,IRNE,IRNE,IRNE,,IRNE
984391186457808896,,,,IMFL,IMFL,IMFL,,IMFL
989801961330544640,,,,IMFL,IMFL,IMFL,,IMFL
1041326411775135744,,,,IMFL,IMFL,IMFL,,IMFL
993929902800941056,,,,IRNE,IRNE,IRNE,,IRNE
1022484780833746944,,,,IMFL,IMFL,IMFL,,IMFL
1037408020723130374,,,,IRNE,IRNE,IRNE,,IRNE
1040970479270592513,,,,IRNE,IMFL,IRNE,,IRNE
1037452473584238595,,,,IRNE,IRNE,IRNE,,IRNE
1005457894601609217,,,,IMFL,IMFL,IMFL,,IMFL
1045358039316992001,,,,IRNE,IRNE,IRNE,,IRNE
1042526550716018688,,,,IRNE,IRNE,IRNE,,IRNE
1037392323137732614,,,,IMFL,IMFL,IMFL,,IMFL
1023617270877224963,,,,IMFL,IMFL,IMFL,,IMFL
1045361079600250880,,,,IRNE,IRNE,IRNE,,IRNE
1004736222311452672,,,,IMDS,IMDS,IMDS,,IMDS
1037412836807462913,,,,IRNE,IRNE,IRNE,,IRNE
992400231152214016,,,,IMFL,IMFL,IMFL,,IMFL
991334406009819136,,,,IMFL,IMFL,IMFL,,IMFL
1030517881518350336,,,,IMFL,IMFL,IMFL,,IMFL
1037454648393822208,,,,IRNE,IRNE,IRNE,,IRNE
1031222704379187200,,,,IMFL,IMFL,IMFL,,IMFL
1042055968941637633,,,,IMFL,IMFL,IRNE,,IMFL
988161271777366018,,,,IMFL,IMFL,IRNE,,IMFL
1037375299162398720,,,,IRNE,IRNE,IRNE,,IRNE
1038110523865358344,,,,IMFL,IMFL,IMFL,,IMFL
1044983498958938115,,,,IMFL,IMFL,IRNE,,IMFL
983849690042159105,,,,IMFL,IMFL,IMFL,,IMFL
1021874561904721923,,,,IMFL,IMFL,IMFL,,IMFL
1005854298763333632,,,,IMFL,IMFL,IMFL,,IMFL
988592548179578881,,,,IMFL,IMFL,IMFL,,IMFL
989079884831117312,,,,IMFL,IMFL,IMFL,,IMFL
981890988284239872,,,,IMFL,IMFL,IMFL,,IMFL
1045422278903762944,,,,IMFL,IMFL,IMFL,,IMFL
982966398493298690,,,,IMFL,IMFL,IMFL,,IMFL
997882289047646209,,,,IMFL,IMFL,IMFL,,IMFL
1037352626721972225,,,,IRNE,IMFL,IRNE,,IRNE
1036989013952016384,,,,IRNE,IRNE,IRNE,,IRNE
1031217606802530305,,,,IMFL,IMFL,IMFL,,IMFL
997665775640072198,,,,IMFL,IMFL,IMFL,,IMFL
983460370466660352,,,,IRNE,IRNE,IRNE,,IRNE
983764715351498752,,,,IRNE,IRNE,IRNE,,IRNE
1044976385339662336,,,,IMFL,IMFL,IMFL,,IMFL
1037430061429866497,,,,IRNE,IRNE,IRNE,,IRNE
1029446784844750850,,,,IMFL,IMFL,IRNE,,IMFL
1038521417942355968,,,,IRNE,IRNE,IRNE,,IRNE
981178807292850176,,,,IMFL,IMFL,IMFL,,IMFL
1031226462504984579,,,,IMFL,IMFL,IMFL,,IMFL
983834780075790336,,,,IMFL,IMFL,IMFL,,IMFL
1039569440151678976,,,,IMFL,IMFL,IMFL,,IMFL
1037995089891610625,,,,IRNE,IRNE,IRNE,,IRNE
1000633182759325696,,,,IMFL,IMFL,IRNE,,IMFL
984875532151123968,,,,IRNE,IMFL,IRNE,,IRNE
993919509227503617,,,,IMFL,IMFL,IMFL,,IMFL
1045421395126235138,,,,IMFL,IMFL,IMFL,,IMFL
1045402200833445891,,,,IMFL,IMFL,IRNE,,IMFL
1031260502448635904,,,,IRNE,IRNE,IRNE,,IRNE
984102261281484800,,,,IMFL,IMFL,IMFL,,IMFL
1037451289179901954,,,,IRNE,IRNE,IRNE,,IRNE
1041374637140189191,,,,IMFL,IMFL,IMFL,,IMFL
1039230174955536386,,,,IRNE,IRNE,IRNE,,IRNE
1045866924704505857,,,,IRNE,IRNE,IRNE,,IRNE
1039901414569533441,,,,IMFL,IMFL,IMFL,,IMFL
988547420471611397,,,,IMFL,IMFL,IMFL,,IMFL
1037256946007638017,,,,IMFL,IRNE,IRNE,,IRNE
983660415396864000,,,,IMFL,IMFL,IMFL,,IMFL
1037399304934240256,,,,IRNE,IRNE,IRNE,,IRNE
983096041540149248,,,,IMFL,IMFL,IMFL,,IMFL
1037841932104417280,,,,IRNE,IRNE,IRNE,,IRNE
1031238624220733440,,,,IRNE,IRNE,IRNE,,IRNE
1000603756193607681,,,,IRNE,IMFL,IRNE,,IRNE
982201321167048706,,,,IRNE,IMFL,IMFL,,IMFL
984289117969281024,,,,IMFL,IMFL,IMFL,,IMFL
1005844795670056962,,,,IMFL,IMFL,IMFL,,IMFL
1023606193560924161,,,,IMFL,IRNE,IMFL,,IMFL
1038465241628246018,,,,IMFL,IRNE,IMFL,,IMFL
1033418932290510848,,,,IRNE,IRNE,IRNE,,IRNE
989171228622680064,,,,IMFL,IMFL,IMFL,,IMFL
988403502027366402,,,,IMFL,IMFL,IMFL,,IMFL
989462751583105024,,,,IRNE,IRNE,IRNE,,IRNE
1039554410869862400,,,,IMFL,IMFL,IMFL,,IMFL
1037378902056988672,,,,IRNE,IRNE,IRNE,,IRNE
1039602311826468864,,,,IRNE,IRNE,IRNE,,IRNE
1045361234495836160,,,,IRNE,IRNE,IRNE,,IRNE
1003128842620493826,,,,IMFL,IMFL,IMFL,,IMFL
991360953127198720,,,,IMFL,IMFL,IMFL,,IMFL
980071834170331136,,,,IMFL,IMFL,IMFL,,IMFL
1037451708518023169,,,,IRNE,IRNE,IRNE,,IRNE
1037400305774866434,,,,IRNE,IRNE,IRNE,,IRNE
1001114612845219840,,,,IMFL,IMFL,IMFL,,IMFL
983752362824294402,,,,IMFL,IRNE,IMFL,,IMFL
1045265817338699776,,,,IMFL,IMFL,IMFL,,IMFL
1038474065093304321,,,,IRNE,IRNE,IRNE,,IRNE
1036600175320608768,,,,IRNE,IRNE,IRNE,,IRNE
1039225659724320768,,,,IRNE,IRNE,IRNE,,IRNE
1039548690590064640,,,,IRNE,IRNE,IRNE,,IRNE
1037402604622503938,,,,IRNE,IRNE,IRNE,,IRNE
993373719878950913,,,,IMFL,IMFL,IMFL,,IMFL
1037440488184393728,,,,IRNE,IRNE,IRNE,,IRNE
1045468306638032897,,,,IMFL,IMFL,IMFL,,IMFL
1022148330837762051,,,,IMFL,IMFL,IMFL,,IMFL
993867260862390275,,,,IMFL,IMFL,IMFL,,IMFL
1038482515533721601,,,,IRNE,IRNE,IRNE,,IRNE
990030688186503168,,,,IRNE,IRNE,IRNE,,IRNE
982237388440190978,,,,IMFL,IMFL,IMFL,,IMFL
982238619678130177,,,,IMFL,IMFL,IMFL,,IMFL
984152841794342912,,,,IMFL,IMFL,IMFL,,IMFL
1023625228537290753,,,,IMFL,IMFL,IRNE,,IMFL
996113863849455617,,,,IRNE,IRNE,IRNE,,IRNE
988533516764962821,,,,IMFL,IMFL,IMFL,,IMFL
997511587714957312,,,,IMFL,IMFL,IMFL,,IMFL
1039252892132225024,,,,IMFL,IMFL,IMFL,,IMFL
983053714654138368,,,,IMFL,IMFL,IMFL,,IMFL
1005534491778191361,,,,IMFL,IRNE,IMFL,,IMFL
998636685830381569,,,,IRNE,IRNE,IRNE,,IRNE
1042782464433958913,,,,IMFL,IMFL,IMFL,,IMFL
1045355486202265600,,,,IMFL,IMFL,IMFL,,IMFL
989464614751686657,,,,IMFL,IMFL,IMFL,,IMFL
982964354931884032,,,,IMFL,IMFL,IMFL,,IMFL
1038792104527503360,,,,IMFL,IMFL,IMFL,,IMFL
983852937536593920,,,,IRNE,IMDS,IRNE,,IRNE
1006307784789504000,,,,IRNE,IRNE,IMFL,,IRNE
1045037494776025090,,,,IMFL,IMFL,IMFL,,IMFL
981098595108708352,,,,IRNE,IRNE,IRNE,,IRNE
981887650050330624,,,,IMFL,IMFL,IMFL,,IMFL
988142641668816897,,,,IMFL,IMFL,IMFL,,IMFL
979735164623433728,,,,IMFL,IMFL,IMFL,,IMFL
1044682866268012545,,,,IMFL,IMFL,IRNE,,IMFL
1045275350706671617,,,,IRNE,IRNE,IRNE,,IRNE
983816948889915392,,,,IMFL,IRNE,IMFL,,IMFL
989178641849503745,,,,IMFL,IMFL,IMFL,,IMFL
1037338256411701248,,,,IMFL,IMFL,IMFL,,IMFL
983817280575467520,,,,IMFL,IMFL,IMFL,,IMFL
1023607743112982528,,,,IMFL,IMFL,IMFL,,IMFL
981904068728754176,,,,IRNE,IRNE,IRNE,,IRNE
981994493414203392,,,,IRNE,IRNE,IRNE,,IRNE
1036578390013296646,,,,IRNE,IRNE,IRNE,,IRNE
981164085596192769,,,,IMFL,IMFL,IMFL,,IMFL
991053287842615296,,,,IMFL,IMFL,IMFL,,IMFL
1038429599611412480,,,,IRNE,IRNE,IRNE,,IRNE
1045350221058912256,,,,IMFL,IMFL,IMFL,,IMFL
989425741111726085,,,,IMFL,IMFL,IMFL,,IMFL
1045354855932592129,,,,IMFL,IMFL,IMFL,,IMFL
984134450182320129,,,,IMFL,IMFL,IMFL,,IMFL
983761613684727808,,,,IMFL,IMFL,IMFL,,IMFL
1021818212290318336,,,,IMFL,IMFL,IMFL,,IMFL
1034834525111693312,,,,IMFL,IMFL,IMFL,,IMFL
1038219730291773441,,,,IMFL,IMFL,IMFL,,IMFL
1039451770198654977,,,,IRNE,IRNE,IRNE,,IRNE
988124454197891072,,,,IMFL,IRNE,IMFL,,IMFL
981169881662943233,,,,IMFL,IMFL,IMFL,,IMFL
990091431611129856,,,,IMFL,IRNE,IMFL,,IMFL
1037002136910000128,,,,IMFL,IMFL,IMFL,,IMFL
983359013189574656,,,,IMFL,IMFL,IMFL,,IMFL
1038473852643418112,,,,IMFL,IMFL,IMFL,,IMFL
983750705222750208,,,,IMFL,IMFL,IMFL,,IMFL
989421924722847744,,,,IMFL,IMFL,IRNE,,IMFL
998792736529637376,,,,IMFL,IMFL,IMFL,,IMFL
1037328806925815808,,,,IMFL,IMFL,IMFL,,IMFL
983381106237018112,,,,IMFL,IMFL,IMFL,,IMFL
1046127895029186562,,,,IRNE,IRNE,IRNE,,IRNE
989486399702339585,,,,IRNE,IRNE,IRNE,,IRNE
1044981737233817600,,,,IRNE,IRNE,IRNE,,IRNE
1044699244735725568,,,,IMFL,IMFL,IMFL,,IMFL
983070439147802625,,,,IMFL,IMFL,IMFL,,IMFL
1038801976438530049,,,,IMFL,IMFL,IMFL,,IMFL
984037502943137792,,,,IRNE,IRNE,IRNE,,IRNE
991403298958856192,,,,IMFL,IMFL,IMFL,,IMFL
981897107127918593,,,,IMFL,IMFL,IMFL,,IMFL
988798966123958273,,,,IMFL,IMFL,IMFL,,IMFL
1042408922085253120,,,,IMFL,IMFL,IMFL,,IMFL
994913140214321152,,,,IRNE,IRNE,IRNE,,IRNE
1045679609084346370,,,,IMFL,IMFL,IMFL,,IMFL
1000793390890606593,,,,IRNE,IRNE,IRNE,,IRNE
981307990753075200,,,,IMFL,IMFL,IMFL,,IMFL
984020387930476546,,,,IRNE,IRNE,IRNE,,IRNE
997927602823356416,,,,IRNE,IRNE,IRNE,,IRNE
1037789264896053250,,,,IMFL,IMFL,IMFL,,IMFL
991914006792241152,,,,IMFL,IRNE,IMFL,,IMFL
1038481438113521665,,,,IMFL,IMFL,IMFL,,IMFL
983084307743985665,,,,IMFL,IMFL,IMFL,,IMFL
983960424491159552,,,,IMFL,IMFL,IMFL,,IMFL
989799701603127296,,,,IRNE,IRNE,IRNE,,IRNE
1039242697092030465,,,,IRNE,IRNE,IRNE,,IRNE
1031262839992934400,,,,IMFL,IMFL,IMFL,,IMFL
984333668377419776,,,,IMFL,IMFL,IMFL,,IMFL
1023555432638558208,,,,IMFL,IMFL,IMFL,,IMFL
1044873737194090496,,,,IRNE,IRNE,IMFL,,IRNE
981256816549089280,,,,IRNE,IRNE,IRNE,,IRNE
1005854056768856064,,,,IRNE,IRNE,IRNE,,IRNE
981916869438459904,,,,IMFL,IMFL,IMFL,,IMFL
989115799880204289,,,,IMFL,IMFL,IMFL,,IMFL
1040712659891576832,,,,IRNE,IRNE,IRNE,,IRNE
983686284001579008,,,,IMFL,IMFL,IMFL,,IMFL
988756055554514946,,,,IMFL,IMFL,IMFL,,IMFL
983699699810127873,,,,IMFL,IMFL,IMFL,,IMFL
991057352903286784,,,,IMFL,IMFL,IMFL,,IMFL
983877644277223424,,,,IRNE,IRNE,IRNE,,IRNE
981920185417371648,,,,IMFL,IMFL,IMFL,,IMFL
1029138739715551232,,,,IMFL,IMFL,IMFL,,IMFL
989916618233909248,,,,IRNE,IRNE,IRNE,,IRNE
988480302287859712,,,,IRNE,IRNE,IRNE,,IRNE
983780131612262400,,,,IMFL,IMFL,IMFL,,IMFL
1030506032479567879,,,,IMFL,IMFL,IMFL,,IMFL
1014188424344031237,,,,IMFL,IMFL,IMFL,,IMFL
1030994947212763137,,,,IRNE,IRNE,IRNE,,IRNE
1023583215842418688,,,,IMFL,IMFL,IMFL,,IMFL
1031224060213121024,,,,IRNE,IRNE,IRNE,,IRNE
1022140989555793920,,,,IMFL,IMFL,IMFL,,IMFL
984119278424264704,,,,IMFL,IMFL,IMFL,,IMFL
989795720038440961,,,,IMFL,IMFL,IMFL,,IMFL
989176890077405184,,,,IMFL,IMFL,IMFL,,IMFL
983037808121131008,,,,IMFL,IMFL,IMFL,,IMFL
1038088092522037250,,,,IMFL,IMFL,IMFL,,IMFL
1044971264417378306,,,,IMFL,IMFL,IMFL,,IMFL
1037279694322839552,,,,IRNE,IRNE,IRNE,,IRNE
1037300246647332864,,,,IMFL,IMFL,IMFL,,IMFL
1021860872900227073,,,,IRNE,IRNE,IRNE,,IRNE
1023556811792818176,,,,IMFL,IMFL,IMFL,,IMFL
1005836108805091329,,,,IMFL,IMFL,IMFL,,IMFL
1029370909931593728,,,,IMFL,IMFL,IMFL,,IMFL
1038222910958329856,,,,IMFL,IMFL,IMFL,,IMFL
1042548837838217222,,,,IRNE,IRNE,IRNE,,IRNE
1045335637556174849,,,,IMFL,IMFL,IMFL,,IMFL
989146182512504834,,,,IMFL,IMFL,IMFL,,IMFL
1045699759888052226,,,,IMFL,IMFL,IMFL,,IMFL
1006290012353200128,,,,IMFL,IMFL,IMFL,,IMFL
988619748790370307,,,,IMFL,IMFL,IMFL,,IMFL
1028764721879674881,,,,IMFL,IMFL,IMFL,,IMFL
1023561018008633344,,,,IMFL,IMFL,IMFL,,IMFL
1001927090005037057,,,,IRNE,IRNE,IRNE,,IRNE
1044977973856817152,,,,IMFL,IMFL,IMFL,,IMFL
983723195122450433,,,,IMFL,IMFL,IMFL,,IMFL
980725930640465920,,,,IMFL,IMFL,IMFL,,IMFL
983981329728536577,,,,IMFL,IMFL,IMFL,,IMFL
984201384651317248,,,,IMFL,IMFL,IMFL,,IMFL
983752149451657217,,,,IMFL,IMFL,IMFL,,IMFL
993893071208222723,,,,IMFL,IMFL,IMFL,,IMFL
998331919157878784,,,,IMFL,IMFL,IMFL,,IMFL
981180061243015169,,,,IMFL,IMFL,IMFL,,IMFL
998728812581048321,,,,IRNE,IRNE,IRNE,,IRNE
989161021939093510,,,,IMFL,IMFL,IMFL,,IMFL
984420791658958848,,,,IRNE,IRNE,IRNE,,IRNE
1045028500384698370,,,,IRNE,IRNE,IRNE,,IRNE
983922447232782337,,,,IMFL,IMFL,IMFL,,IMFL
981297937207713794,,,,IRNE,IRNE,IRNE,,IRNE
979731313010896897,,,,IRNE,IRNE,IRNE,,IRNE
1031227842993053696,,,,IRNE,IRNE,IRNE,,IRNE
1038190886163755009,,,,IRNE,IRNE,IRNE,,IRNE
1005140998022889472,,,,IRNE,IRNE,IRNE,,IRNE
1023568719618822144,,,,IMFL,IMFL,IMFL,,IMFL
1042427006237990913,,,,IMFL,IMFL,IMFL,,IMFL
983053486186291202,,,,IMFL,IMFL,IMFL,,IMFL
1044952551022645251,,,,IMFL,IMFL,IMFL,,IMFL
1037856580178530304,,,,IRNE,IRNE,IRNE,,IRNE
988029443322056704,,,,IMFL,IMFL,IMFL,,IMFL
988448925798535170,,,,IMFL,IMFL,IMFL,,IMFL
983297154029670400,,,,IMFL,IMFL,IMFL,,IMFL
1045692806034018310,,,,IMFL,IMFL,IMFL,,IMFL
980417543876825089,,,,IRNE,IRNE,IRNE,,IRNE
989120339715219457,,,,IMFL,IMFL,IMFL,,IMFL
999020981699084288,,,,IMFL,IMFL,IMFL,,IMFL
998667935941087238,,,,IMFL,IMFL,IMFL,,IMFL
999404815502495744,,,,IRNE,IRNE,IRNE,,IRNE
1046164201935384577,,,,IRNE,IRNE,IMFL,,IRNE
1040581942239023105,,,,IMFL,IMFL,IMFL,,IMFL
989804921007505408,,,,IRNE,IRNE,IRNE,,IRNE
982257648799137802,,,,IMFL,IMFL,IMFL,,IMFL
1022155597079343104,,,,IRNE,IRNE,IRNE,,IRNE
988172871548710912,,,,IMFL,IMFL,IMFL,,IMFL
999983338541735937,,,,IRNE,IRNE,IRNE,,IRNE
983842112222449664,,,,IMFL,IMFL,IMFL,,IMFL
983064426873057281,,,,IMFL,IMFL,IMFL,,IMFL
984104364502585345,,,,IRNE,IRNE,IRNE,,IRNE
983756530787995650,,,,IMFL,IMFL,IMFL,,IMFL
981502771659706368,,,,IRNE,IRNE,IRNE,,IRNE
998941152559751169,,,,IMFL,IMFL,IMFL,,IMFL
989865438216687616,,,,IRNE,IRNE,IRNE,,IRNE
982225852128641025,,,,IMFL,IMFL,IMFL,,IMFL
1031279808859267074,,,,IMFL,IMFL,IMFL,,IMFL
983613579424403456,,,,IMFL,IMFL,IMFL,,IMFL
988836725916135424,,,,IMFL,IMFL,IMFL,,IMFL
1022132771496636416,,,,IMFL,IMFL,IMFL,,IMFL
1031241321497935872,,,,IRNE,IMFL,IRNE,,IRNE
980661290476752896,,,,IRNE,IRNE,IRNE,,IRNE
989395101490339840,,,,IMFL,IRNE,IRNE,,IRNE
998208258266542080,,,,IMFL,IMFL,IMFL,,IMFL
992500402338848770,,,,IMFL,IMFL,IMFL,,IMFL
991037722189025281,,,,IMFL,IMFL,IMFL,,IMFL
1037391603684519936,,,,IMFL,IMFL,IMFL,,IMFL
973844446348529664,,,,IRNE,IRNE,IRNE,,IRNE
981257477961535489,,,,IRNE,IRNE,IRNE,,IRNE
989393027214008320,,,,IRNE,IRNE,IRNE,,IRNE
983940859732418560,,,,IRNE,IRNE,IRNE,,IRNE
982232119664504832,,,,IMFL,IMFL,IMFL,,IMFL
1023963397308735488,,,,IMFL,IMFL,IMFL,,IMFL
980167130900516865,,,,IMFL,IMFL,IMFL,,IMFL
993868901602783233,,,,IMFL,IMFL,IMFL,,IMFL
1005882366466904064,,,,IMFL,IMFL,IMFL,,IMFL
