,,,,Labels Replacement,,,,
998713385347878913,,,,IRNE,IRNE,IRNE,,IRNE
993591874760962052,,,,IRNE,IRNE,IRNE,,IRNE
993645081214242816,,,,IRNE,IRNE,IRNE,,IRNE
992712827633848321,,,,IRNE,IRNE,IRNE,,IRNE
998974796783382529,,,,IRNE,IRNE,IRNE,,IRNE
991638432865751040,,,,IRNE,IRNE,IRNE,,IRNE
998376915043012608,,,,IRNE,IRNE,IRNE,,IRNE
988399677824552961,,,,IRNE,IRNE,IRNE,,IRNE
994393134795841537,,,,IRNE,IRNE,IRNE,,IRNE
991653562261364736,,,,IRNE,IRNE,IRNE,,IRNE
992202200884678656,,,,IRNE,IRNE,IRNE,,IRNE
998926072333860865,,,,IRNE,IRNE,IRNE,,IRNE
998662572046999553,,,,IRNE,IRNE,IRNE,,IRNE
989140724825382913,,,,IRNE,IRNE,IRNE,,IRNE
993577802325741570,,,,IRNE,IRNE,IRNE,,IRNE
998269326150029313,,,,IRNE,IRNE,IRNE,,IRNE
989145241738465280,,,,IRNE,IRNE,IRNE,,IRNE
982168347117666306,,,,IRNE,IRNE,IRNE,,IRNE
990997444207853568,,,,IRNE,IRNE,IRNE,,IRNE
998713092816166914,,,,IRNE,IRNE,IRNE,,IRNE
988493302436630528,,,,IMAC,IMAC,IMAC,,IMAC
997522014943563777,,,,IRNE,IRNE,IRNE,,IRNE
980335578066685952,,,,IRNE,IRNE,IRNE,,IRNE
995383926578470912,,,,IRNE,IRNE,IRNE,,IRNE
970718344834928641,,,,IRNE,IRNE,IRNE,,IRNE
977841949817393152,,,,IRNE,IRNE,IRNE,,IRNE
996027739441369088,,,,IRNE,IRNE,IRNE,,IRNE
990622972774825984,,,,IRNE,IRNE,IRNE,,IRNE
991452374228242434,,,,IRNE,IRNE,IRNE,,IRNE
992041167289241600,,,,IRNE,IRNE,IRNE,,IRNE
995714264479535104,,,,IRNE,IRNE,IRNE,,IRNE
980590210768687106,,,,IRNE,IRNE,IRNE,,IRNE
993813451679109122,,,,IRNE,IRNE,IRNE,,IRNE
993928826483863554,,,,IRNE,IRNE,IRNE,,IRNE
999056218630049792,,,,IRNE,IRNE,IRNE,,IRNE
998270763265380352,,,,IRNE,IRNE,IRNE,,IRNE
992072817406554118,,,,IRNE,IRNE,IRNE,,IRNE
983360676327501824,,,,IRNE,IRNE,IRNE,,IRNE
970649282650001408,,,,IRNE,IRNE,IRNE,,IRNE
988100128878841857,,,,IRNE,IRNE,IRNE,,IRNE
970320101797978112,,,,IRNE,IRNE,IRNE,,IRNE
991405932969066496,,,,IRNE,IRNE,IRNE,,IRNE
988417304995155969,,,,IMAC,IRNE,IMAC,,IMAC
998348928448974848,,,,IRNE,IRNE,IRNE,,IRNE
994900364649549824,,,,IRNE,IRNE,IRNE,,IRNE
988009754155978752,,,,IRNE,IRNE,IRNE,,IRNE
998744492953006082,,,,IRNE,IRNE,IRNE,,IRNE
980174821626609667,,,,IRNE,IRNE,IRNE,,IRNE
989796550766485505,,,,IRNE,IRNE,IRNE,,IRNE
998275614607069185,,,,IRNE,IRNE,IRNE,,IRNE
998301898544418816,,,,IRNE,IRNE,IRNE,,IRNE
999383702386851840,,,,IRNE,IRNE,IRNE,,IRNE
980488282088837121,,,,IRNE,IRNE,IRNE,,IRNE
999463742478934016,,,,IRNE,IRNE,IRNE,,IRNE
999048483612000256,,,,IRNE,IRNE,IRNE,,IRNE
997466089146724352,,,,IRNE,IRNE,IRNE,,IRNE
993813246636380165,,,,IRNE,IRNE,IRNE,,IRNE
993888520811905025,,,,IMAC,IMAC,IMAC,,IMAC
990306178105315328,,,,IRNE,IRNE,IRNE,,IRNE
995380268750995462,,,,IRNE,IRNE,IRNE,,IRNE
970285335988047872,,,,IRNE,IRNE,IRNE,,IRNE
994392259947843585,,,,IRNE,IRNE,IRNE,,IRNE
990205622535716865,,,,IRNE,IRNE,IRNE,,IRNE
999436051142803456,,,,IRNE,IRNE,IRNE,,IRNE
993166127319670784,,,,IRNE,IRNE,IRNE,,IRNE
995358206884024322,,,,IRNE,IRNE,IRNE,,IRNE
997547609123426304,,,,IRNE,IRNE,IRNE,,IRNE
995370221585207302,,,,IRNE,IRNE,IRNE,,IRNE
990733830855290880,,,,IRNE,IRNE,IRNE,,IRNE
999074815268065280,,,,IRNE,IRNE,IRNE,,IRNE
979337744949432321,,,,IRNE,IRNE,IRNE,,IRNE
970593056213827589,,,,IMAC,IMAC,IRNE,,IMAC
977861831908872192,,,,IRNE,IRNE,IMAC,,IRNE
981812598642495489,,,,IRNE,IRNE,IMAC,,IRNE
983075107408154626,,,,IRNE,IRNE,IRNE,,IRNE
983211602509000705,,,,IMAC,IMAC,IMAC,,IMAC
983339761573212161,,,,IMAC,IMAC,IMAC,,IMAC
990297227942907904,,,,IMAC,IMAC,IMAC,,IMAC
994148558424113153,,,,IRNE,IRNE,IRNE,,IRNE
1003264438131150848,,,,IMAC,IMAC,IMAC,,IMAC
1041230115835920384,,,,IMAC,IMAC,IMAC,,IMAC
1041286190744461312,,,,IMAC,IMAC,IMAC,,IMAC
1041383581359243264,,,,IMAC,IMAC,IMAC,,IMAC
1042460689942683650,,,,IMAC,IMAC,IMAC,,IMAC
1042461621208182784,,,,IMAC,IMAC,IMAC,,IMAC
1044593216442552321,,,,IMAC,IMAC,IMAC,,IMAC
1045341788666499072,,,,IMAC,IMAC,IMAC,,IMAC
1046391056974172171,,,,IRNE,IRNE,IRNE,,IRNE
988575372555046912,,,,IRNE,IRNE,IRNE,,IRNE
988539137451020288,,,,IRNE,IRNE,IRNE,,IRNE
1001472116372500482,,,,IRNE,IRNE,IRNE,,IRNE
1042120856355397632,,,,IRNE,IMAC,IMAC,,IMAC
1005799744231354368,,,,IRNE,IRNE,IRNE,,IRNE
1001336481414295552,,,,IRNE,IRNE,IRNE,,IRNE
1001203491619135488,,,,IRNE,IRNE,IRNE,,IRNE
1041378734094409729,,,,IRNE,IRNE,IRNE,,IRNE
998713710385483776,,,,IRNE,IRNE,IRNE,,IRNE
993801262213795845,,,,IRNE,IMAC,IMAC,,IMAC
1042190119162265601,,,,IRNE,IRNE,IRNE,,IRNE
969246936896241665,,,,IRNE,IRNE,IRNE,,IRNE
1037645611137486853,,,,IRNE,IRNE,IRNE,,IRNE
1046509560687722497,,,,IRNE,IRNE,IRNE,,IRNE
997115542870818816,,,,IRNE,IRNE,IRNE,,IRNE
990997629025882113,,,,IRNE,IRNE,IMAC,,IRNE
995269060752543744,,,,IRNE,IRNE,IMAC,,IRNE
998348927891050496,,,,IRNE,IRNE,IRNE,,IRNE
1046515414749130753,,,,IRNE,IRNE,IRNE,,IRNE
1046071800449454081,,,,IRNE,IRNE,IRNE,,IRNE
1002644788158652416,,,,IRNE,IRNE,IRNE,,IRNE
998210840703594496,,,,IRNE,IRNE,IRNE,,IRNE
994904046778667009,,,,IRNE,IRNE,IRNE,,IRNE
1006329676661264384,,,,IRNE,IRNE,IRNE,,IRNE
1040688833145327617,,,,IRNE,IRNE,IRNE,,IRNE
1039581060332441600,,,,IRNE,IRNE,IRNE,,IRNE
1005497296790982656,,,,IRNE,IRNE,IMAC,,IRNE
1000123887626178560,,,,IRNE,IRNE,IRNE,,IRNE
983044583457255424,,,,IRNE,IRNE,IRNE,,IRNE
1046495521173581824,,,,IRNE,IRNE,IRNE,,IRNE
999036785748598784,,,,IRNE,IRNE,IRNE,,IRNE
1035610035219517440,,,,IRNE,IRNE,IRNE,,IRNE
1001546501183754240,,,,IMAC,IMAC,IMAC,,IMAC
1042118140543606784,,,,IRNE,IRNE,IRNE,,IRNE
994201244385398784,,,,IRNE,IRNE,IRNE,,IRNE
1006310852948094978,,,,IRNE,IRNE,IRNE,,IRNE
981249533052112896,,,,IRNE,IRNE,IRNE,,IRNE
993853716875931648,,,,IRNE,IRNE,IMAC,,IRNE
1000613520139014144,,,,IRNE,IRNE,IRNE,,IRNE
988541041883205633,,,,IRNE,IRNE,IRNE,,IRNE
1037270660698005504,,,,IRNE,IRNE,IRNE,,IRNE
1042206571416178688,,,,IRNE,IRNE,IRNE,,IRNE
1038532755502575618,,,,IRNE,IRNE,IRNE,,IRNE
1045274052301127686,,,,IRNE,IRNE,IRNE,,IRNE
997771400978075648,,,,IRNE,IRNE,IRNE,,IRNE
1043845430403059714,,,,IRNE,IRNE,IRNE,,IRNE
999414760151093248,,,,IRNE,IRNE,IRNE,,IRNE
1003095861612728320,,,,IRNE,IRNE,IRNE,,IRNE
1041510212421726209,,,,IRNE,IRNE,IRNE,,IRNE
1014218546065354752,,,,IRNE,IRNE,IRNE,,IRNE
1031253208092626944,,,,IRNE,IRNE,IRNE,,IRNE
1001862579323588613,,,,IRNE,IRNE,IRNE,,IRNE
990380650753650688,,,,IRNE,IRNE,IRNE,,IRNE
1001278727249113088,,,,IRNE,IRNE,IRNE,,IRNE
988901889424142337,,,,IRNE,IRNE,IRNE,,IRNE
1036709495257350144,,,,IRNE,IRNE,IRNE,,IRNE
1044667594014429184,,,,IRNE,IRNE,IRNE,,IRNE
1045885580352126981,,,,IRNE,IRNE,IRNE,,IRNE
1041259389859110912,,,,IRNE,IRNE,IRNE,,IRNE
988412667508547584,,,,IRNE,IRNE,IRNE,,IRNE
1001461654108950528,,,,IRNE,IRNE,IRNE,,IRNE
1039528082431008768,,,,IRNE,IRNE,IRNE,,IRNE
981901035148054528,,,,IRNE,IRNE,IRNE,,IRNE
993578188210102272,,,,IRNE,IRNE,IRNE,,IRNE
1044888201549221889,,,,IRNE,IRNE,IRNE,,IRNE
1001618476992270336,,,,IRNE,IRNE,IRNE,,IRNE
998688439489966085,,,,IRNE,IRNE,IRNE,,IRNE
1045716219570073601,,,,IRNE,IRNE,IRNE,,IRNE
969228616868515840,,,,IMAC,IMAC,IMFL,,IMAC
969255743412195328,,,,IMAC,IMAC,IMAC,,IMAC
969970579586633730,,,,IMAC,IMAC,IMAC,,IMAC
969977171954622464,,,,IMAC,IMAC,IMAC,,IMAC
970254343650926593,,,,IMAC,IMAC,IMAC,,IMAC
970263972476805120,,,,IMAC,IMAC,IMAC,,IMAC
970278968590061568,,,,IMAC,IMAC,IMAC,,IMAC
970286966167175169,,,,IMAC,IMAC,IMAC,,IMAC
970291472372322304,,,,IMAC,IMAC,IMAC,,IMAC
970314214068969472,,,,IMAC,IMAC,IMAC,,IMAC
970317620099665920,,,,IMAC,IMAC,IMAC,,IMAC
970321845009436673,,,,IMAC,IMAC,IMAC,,IMAC
970357000050757633,,,,IMAC,IMAC,IMAC,,IMAC
970368176662990848,,,,IMAC,IMAC,IMAC,,IMAC
970331744946851840,,,,IMAC,IMAC,IMAC,,IMAC
970370999328952321,,,,IMAC,IMAC,IMAC,,IMAC
977837098320433152,,,,IMAC,IMAC,IMAC,,IMAC
978152762201518080,,,,IMAC,IMAC,IMAC,,IMAC
979050791368626176,,,,IMAC,IMAC,IMAC,,IMAC
979315160299995137,,,,IMAC,IMAC,IMAC,,IMAC
979320918374744065,,,,IMAC,IMAC,IMAC,,IMAC
979330571376701441,,,,IMAC,IMAC,IMAC,,IMAC
979379946543042560,,,,IMAC,IMAC,IMAC,,IMAC
979413876944064513,,,,IMAC,IMAC,IMAC,,IMAC
979410127332823043,,,,IMAC,IMAC,IMAC,,IMAC
979518600435429376,,,,IMAC,IMAC,IMAC,,IMAC
979830999357050881,,,,IMAC,IMAC,IMAC,,IMAC
979828534054150144,,,,IMAC,IMAC,IMAC,,IMAC
979833652149391360,,,,IMAC,IMAC,IMAC,,IMAC
980415698290790400,,,,IMAC,IMAC,IMAC,,IMAC
981531388619952128,,,,IMAC,IMAC,IMAC,,IMAC
981882583914106881,,,,IMAC,IMAC,IMAC,,IMAC
981996381954105345,,,,IMAC,IMAC,IMAC,,IMAC
982167365801529345,,,,IMAC,IMAC,IMAC,,IMAC
983142493104627712,,,,IMAC,IMAC,IMAC,,IMAC
983374214785830912,,,,IMAC,IMAC,IMAC,,IMAC
983483445765521408,,,,IMAC,IMAC,IMAC,,IMAC
983508525862281216,,,,IMAC,IMAC,IMAC,,IMAC
983628258645299200,,,,IMAC,IMAC,IMAC,,IMAC
987913110894858240,,,,IMAC,IMAC,IMAC,,IMAC
988115132323651586,,,,IMAC,IMAC,IMAC,,IMAC
988140823148662784,,,,IMAC,IMAC,IMAC,,IMAC
988143152405065731,,,,IMAC,IMAC,IMAC,,IMAC
988414511827836928,,,,IMAC,IMAC,IMDS,,IMAC
988415127543271424,,,,IMAC,IMAC,IMDS,,IMAC
988432847827623936,,,,IMAC,IMAC,IMDS,,IMAC
988433161393725440,,,,IMAC,IMAC,IMDS,,IMAC
989142749826945024,,,,IMAC,IMAC,IMAC,,IMAC
989182226045849600,,,,IMAC,IMAC,IMAC,,IMAC
989829045734002688,,,,IMAC,IMAC,IRNE,,IMAC
990054260510547968,,,,IMFL,IMAC,IMAC,,IMAC
990530617547911169,,,,IMAC,IMAC,IMAC,,IMAC
991181406440251393,,,,IMAC,IMAC,IMAC,,IMAC
991052918580269057,,,,IMAC,IMAC,IMAC,,IMAC
991186926974722048,,,,IMAC,IMAC,IMAC,,IMAC
991245390530973696,,,,IMAC,IMAC,IRNE,,IMAC
992015407115571202,,,,IMAC,IMAC,IMAC,,IMAC
992065330250960896,,,,IMAC,IRNE,IRNE,,IRNE
992419226760679424,,,,IMAC,IMAC,IMAC,,IMAC
992419605518970881,,,,IMAC,IMAC,IMAC,,IMAC
992424977084436481,,,,IMAC,IMAC,IMAC,,IMAC
993729031819415552,,,,IMAC,IMAC,IMAC,,IMAC
993797293999566850,,,,IMAC,IMAC,IMAC,,IMAC
993806547288457216,,,,IMAC,IMAC,IMAC,,IMAC
993810906177003520,,,,IMAC,IMAC,IMAC,,IMAC
993808647443673088,,,,IMAC,IMAC,IMAC,,IMAC
993839375963295746,,,,IMAC,IMAC,IMAC,,IMAC
993874652119404545,,,,IMAC,IMAC,IMAC,,IMAC
993882244413644800,,,,IMAC,IMAC,IMAC,,IMAC
995419092923310081,,,,IMAC,IMAC,IMAC,,IMAC
995615528407400448,,,,IMAC,IMAC,IMAC,,IMAC
995673016028692480,,,,IMAC,IMAC,IMAC,,IMAC
995690653534351366,,,,IMAC,IMAC,IMAC,,IMAC
995762465056096256,,,,IMAC,IMAC,IMAC,,IMAC
995774200672673792,,,,IMAC,IMAC,IMAC,,IMAC
996122753425203201,,,,IMAC,IMAC,IMAC,,IMAC
996112843924787201,,,,IMAC,IMAC,IMAC,,IMAC
996124454500564992,,,,IMAC,IMAC,IMAC,,IMAC
997462232089989120,,,,IMAC,IMAC,IMAC,,IMAC
997945437058412544,,,,IMAC,IMAC,IMAC,,IMAC
997944843040186369,,,,IMAC,IMAC,IMAC,,IMAC
997972248685416448,,,,IMAC,IMAC,IMAC,,IMAC
997980218529730560,,,,IMAC,IMAC,IMAC,,IMAC
998268765208014848,,,,IMAC,IMAC,IMAC,,IMAC
998458740092362753,,,,IMAC,IMAC,IMAC,,IMAC
998478771639541760,,,,IMAC,IMAC,IMAC,,IMAC
998779564401754112,,,,IMAC,IMAC,IMAC,,IMAC
999389483823976448,,,,IMAC,IMAC,IMAC,,IMAC
999392673541820421,,,,IMAC,IMAC,IMAC,,IMAC
999936198469734401,,,,IMAC,IMAC,IMAC,,IMAC
1000137571492618240,,,,IRNE,IRNE,IMAC,,IRNE
1000138522815336450,,,,IRNE,IRNE,IMAC,,IRNE
1000801031373119488,,,,IMAC,IMAC,IMAC,,IMAC
1001493128396902400,,,,IMAC,IMAC,IMAC,,IMAC
1001469776634531840,,,,IMAC,IMAC,IMAC,,IMAC
1001550628534005760,,,,IMAC,IMAC,IMAC,,IMAC
1001960539281641474,,,,IRNE,IRNE,IRNE,,IRNE
1003170001543720962,,,,IMAC,IMAC,IMAC,,IMAC
1003235638001504257,,,,IMAC,IMAC,IMAC,,IMAC
1005319225404215296,,,,IMAC,IMAC,IMAC,,IMAC
1005341543488720896,,,,IMAC,IMAC,IMAC,,IMAC
1005395055220285441,,,,IMAC,IMAC,IMAC,,IMAC
1005443899022807040,,,,IMAC,IRNE,IMAC,,IMAC
1006002076495667201,,,,IMAC,IMAC,IMAC,,IMAC
1006333814069694466,,,,IMAC,IMAC,IMAC,,IMAC
1013522797086281728,,,,IMAC,IMAC,IMAC,,IMAC
1013524485411090432,,,,IMAC,IMAC,IMAC,,IMAC
1013841266688385024,,,,IMAC,IMAC,IMAC,,IMAC
1014089949329739777,,,,IMAC,IMAC,IMAC,,IMAC
1014149084758839298,,,,IMAC,IMAC,IMAC,,IMAC
1014147135598718983,,,,IMAC,IMAC,IMAC,,IMAC
1014147825901416450,,,,IMAC,IMAC,IMAC,,IMAC
1014163044606230528,,,,IMAC,IMAC,IMAC,,IMAC
1014163079943221248,,,,IMAC,IMAC,IMAC,,IMAC
1014179660031254529,,,,IMAC,IMAC,IMAC,,IMAC
1014180317723283456,,,,IMAC,IMAC,IMAC,,IMAC
1014215201393127425,,,,IMAC,IMAC,IMAC,,IMAC
1014570184835829760,,,,IMAC,IMAC,IMAC,,IMAC
1033133921502932997,,,,IMAC,IMAC,IMAC,,IMAC
1033438416233529345,,,,IMAC,IMAC,IMAC,,IMAC
1034907023631110144,,,,IMAC,IMAC,IMAC,,IMAC
1034933397968379907,,,,IMAC,IMAC,IMAC,,IMAC
1036565973787193344,,,,IRNE,IRNE,IRNE,,IRNE
1036575318902026241,,,,IRNE,IRNE,IRNE,,IRNE
1036599613476757505,,,,IMAC,IMAC,IMAC,,IMAC
1036576506233925632,,,,IRNE,IRNE,IRNE,,IRNE
1036606722587148289,,,,IMAC,IMAC,IMAC,,IMAC
1037341882689433600,,,,IMAC,IMAC,IMAC,,IMAC
1037341927044198401,,,,IMAC,IMAC,IMAC,,IMAC
1037340047341694976,,,,IMAC,IMAC,IMAC,,IMAC
1037365642431737856,,,,IMAC,IMAC,IMAC,,IMAC
1037368545179578368,,,,IMAC,IMAC,IMAC,,IMAC
1037420676326600705,,,,IMAC,IMAC,IMAC,,IMAC
1037482898142781440,,,,IRNE,IRNE,IRNE,,IRNE
1038738755643994112,,,,IMAC,IMAC,IMAC,,IMAC
1038858569016373249,,,,IMAC,IMAC,IMAC,,IMAC
1040581818066640896,,,,IMAC,IMAC,IMAC,,IMAC
1041007485941760005,,,,IMAC,IMAC,IMAC,,IMAC
1041227311352344576,,,,IMAC,IMAC,IMAC,,IMAC
1041227086407630848,,,,IMAC,IMAC,IMAC,,IMAC
1041228490283130880,,,,IMAC,IMAC,IMAC,,IMAC
1041230604552077312,,,,IMAC,IMAC,IMAC,,IMAC
1041233390085840896,,,,IMAC,IMAC,IMAC,,IMAC
1041235556544466944,,,,IMAC,IMAC,IMAC,,IMAC
1041235678133141504,,,,IMAC,IMAC,IMAC,,IMAC
1041236988911869952,,,,IMAC,IMAC,IMAC,,IMAC
1041238086703886337,,,,IMAC,IMAC,IMAC,,IMAC
1041240334007775232,,,,IMAC,IMAC,IMAC,,IMAC
1041241305169444864,,,,IMAC,IMAC,IMAC,,IMAC
1041241885942145024,,,,IMAC,IMAC,IMAC,,IMAC
1041242566728007681,,,,IMAC,IMAC,IMAC,,IMAC
1041248845206679552,,,,IMAC,IMAC,IMAC,,IMAC
1041304610877661184,,,,IMAC,IMAC,IMAC,,IMAC
1041320080745873408,,,,IMAC,IMAC,IMAC,,IMAC
1041349758508515328,,,,IMAC,IMAC,IMAC,,IMAC
1041356431063240709,,,,IMAC,IMAC,IMAC,,IMAC
1041495535327367170,,,,IMAC,IMAC,IMAC,,IMAC
1041496138657026048,,,,IMAC,IMAC,IMAC,,IMAC
1042043859365179392,,,,IMAC,IMAC,IMAC,,IMAC
1044683548479885314,,,,IMAC,IMAC,IMAC,,IMAC
1045061700255436807,,,,IMAC,IMAC,IMAC,,IMAC
1045368089376780289,,,,IMAC,IMAC,IMAC,,IMAC
1045621745892380673,,,,IMAC,IMAC,IMAC,,IMAC
969262193169588224,,,,IMAC,IMAC,IMAC,,IMAC
969242482121826304,,,,IMAC,IMAC,IMAC,,IMAC
969264000276996096,,,,IMAC,IMAC,IMAC,,IMAC
969284261672038400,,,,IMAC,IMAC,IMAC,,IMAC
969369196420390913,,,,IMAC,IMAC,IMAC,,IMAC
970570544071495683,,,,IMAC,IMAC,IRNE,,IMAC
970610241846087681,,,,IMAC,IMAC,IMAC,,IMAC
970729102830383106,,,,IMAC,IMAC,IMAC,,IMAC
970687529044324352,,,,IMAC,IMAC,IMAC,,IMAC
970632378984091650,,,,IMAC,IMAC,IMAC,,IMAC
970625371900207105,,,,IMAC,IMAC,IMAC,,IMAC
977840956941750272,,,,IMAC,IMAC,IMAC,,IMAC
977908814233169920,,,,IMAC,IMAC,IRNE,,IMAC
977895878190161920,,,,IMAC,IMAC,IRNE,,IMAC
977909819305799681,,,,IMAC,IMAC,IMAC,,IMAC
977957297820495873,,,,IMAC,IMAC,IMAC,,IMAC
978244629224218624,,,,IMAC,IMAC,IRNE,,IMAC
979324597639307264,,,,IMAC,IMAC,IMAC,,IMAC
979331933674131456,,,,IMAC,IMAC,IMAC,,IMAC
979377590417920000,,,,IMAC,IMAC,IMAC,,IMAC
979387007305764864,,,,IMAC,IMAC,IMAC,,IMAC
979441059410345984,,,,IMAC,IMAC,IMAC,,IMAC
979641826402553856,,,,IMAC,IMAC,IMAC,,IMAC
979849591423229952,,,,IMAC,IMAC,IMAC,,IMAC
980046870360805377,,,,IMAC,IRNE,IMAC,,IMAC
980050010770497537,,,,IMAC,IRNE,IMAC,,IMAC
980058196193800193,,,,IMAC,IRNE,IMAC,,IMAC
980036504826376192,,,,IMAC,IRNE,IMAC,,IMAC
980186599110692865,,,,IMAC,IMAC,IMAC,,IMAC
980214405634887683,,,,IMAC,IMAC,IMAC,,IMAC
980293693058973701,,,,IMAC,IMAC,IMAC,,IMAC
980298710981730304,,,,IMAC,IMAC,IMAC,,IMAC
980358482800054273,,,,IMAC,IMAC,IRNE,,IMAC
980368060467986433,,,,IMAC,IMAC,IMAC,,IMAC
980503121632878592,,,,IMAC,IMAC,IMAC,,IMAC
981241944306339840,,,,IMAC,IMAC,IMAC,,IMAC
983427737196081154,,,,IMAC,IMAC,IMAC,,IMAC
983427700835708929,,,,IMAC,IMAC,IMAC,,IMAC
988159273531265024,,,,IMAC,IMAC,IMAC,,IMAC
988384490056642561,,,,IMAC,IMAC,IMAC,,IMAC
988428762953015296,,,,IRNE,IRNE,IRNE,,IRNE
988434892932427777,,,,IRNE,IRNE,IRNE,,IRNE
988874777170534401,,,,IMAC,IMAC,IMAC,,IMAC
989119584035885056,,,,IMAC,IMAC,IRNE,,IMAC
989807604452024320,,,,IMAC,IMAC,IMAC,,IMAC
989892343477231616,,,,IRNE,IRNE,IRNE,,IRNE
989895259281854465,,,,IRNE,IRNE,IRNE,,IRNE
990519732305620992,,,,IMAC,IRNE,IMAC,,IMAC
990568891310002177,,,,IMAC,IMAC,IMAC,,IMAC
990661344771821568,,,,IMAC,IMAC,IMAC,,IMAC
991047068541169664,,,,IMAC,IRNE,IMAC,,IMAC
992715113483460608,,,,IMAC,IMAC,IMAC,,IMAC
992717619659714560,,,,IMAC,IMAC,IMAC,,IMAC
992719147158196224,,,,IRNE,IRNE,IRNE,,IRNE
992720567957630976,,,,IRNE,IRNE,IRNE,,IRNE
992735342787809280,,,,IRNE,IMAC,IMAC,,IMAC
992908525402836992,,,,IMAC,IMAC,IMAC,,IMAC
993213448313073664,,,,IRNE,IRNE,IRNE,,IRNE
993229856925241346,,,,IMAC,IMAC,IMAC,,IMAC
993231054239563782,,,,IMAC,IMAC,IMAC,,IMAC
993231272997806081,,,,IMAC,IMAC,IMAC,,IMAC
993232796310175744,,,,IMAC,IMAC,IMAC,,IMAC
993829708579196935,,,,IMAC,IMAC,IMAC,,IMAC
