,,,,Labels After Replacement ,,,,
981566879281090561,,,,IMDS,IMDS,IMDS,,IMDS
981537340798758912,,,,IMDS,IRNE,IMDS,,IMDS
980110953793585152,,,,IMDS,IMDS,IMDS,,IMDS
988127789491597312,,,,IRNE,IRNE,IRNE,,IRNE
1038494524706877440,,,,IRNE,IRNE,IRNE,,IRNE
994250585653284865,,,,IRNE,IRNE,IMDS,,IRNE
981935124022521857,,,,IRNE,IRNE,IRNE,,IRNE
983409914432409601,,,,IRNE,IRNE,IRNE,,IRNE
980128183247925248,,,,IRNE,IRNE,IRNE,,IRNE
988154458264801281,,,,IRNE,IRNE,IRNE,,IRNE
988142482973253638,,,,IMDS,IMDS,IMDS,,IMDS
984148259978579973,,,,IMDS,IMDS,IMDS,,IMDS
991717271830695936,,,,IMDS,IMDS,IMDS,,IMDS
1044794686102228992,,,,IRNE,IRNE,IRNE,,IRNE
980182132025851904,,,,IRNE,IRNE,IMDS,,IRNE
989530768044118016,,,,IRNE,IRNE,IRNE,,IRNE
1030522078011826178,,,,IRNE,IRNE,IRNE,,IRNE
1044766617283043328,,,,IRNE,IRNE,IRNE,,IRNE
1037415439024906240,,,,IMDS,IMDS,IMDS,,IMDS
1033724148017709056,,,,IRNE,IRNE,IRNE,,IRNE
1005307763633852416,,,,IRNE,IRNE,IRNE,,IRNE
1037621012014276613,,,,IRNE,IRNE,IRNE,,IRNE
1041240942500605952,,,,IRNE,IRNE,IRNE,,IRNE
992796959831416832,,,,IRNE,IRNE,IRNE,,IRNE
1044873269361479680,,,,IRNE,IRNE,IRNE,,IRNE
1033421592246845440,,,,IRNE,IRNE,IRNE,,IRNE
1022486987427606528,,,,IRNE,IRNE,IRNE,,IRNE
992862069732052992,,,,IRNE,IRNE,IRNE,,IRNE
973313268201787392,,,,IMDS,IRNE,IMDS,,IMDS
1037254674569723904,,,,IRNE,IRNE,IRNE,,IRNE
1037220495110955008,,,,IRNE,IRNE,IRNE,,IRNE
991109608231096326,,,,IRNE,IRNE,IRNE,,IRNE
990611418532728832,,,,IRNE,IRNE,IRNE,,IRNE
994945064756563973,,,,IRNE,IRNE,IRNE,,IRNE
990162579644403712,,,,IRNE,IRNE,IRNE,,IRNE
995299113875984384,,,,IRNE,IRNE,IRNE,,IRNE
1022529309355982850,,,,IRNE,IRNE,IRNE,,IRNE
981168146437386241,,,,IRNE,IRNE,IRNE,,IRNE
988403614371729408,,,,IRNE,IRNE,IRNE,,IRNE
990495222319796224,,,,IRNE,IRNE,IRNE,,IRNE
970623389248425984,,,,IRNE,IRNE,IMDS,,IRNE
1005836811221028864,,,,IRNE,IRNE,IRNE,,IRNE
979417688270307330,,,,IMDS,IMDS,IMDS,,IMDS
981014937622413312,,,,IRNE,IRNE,IRNE,,IRNE
1021869572314603521,,,,IRNE,IRNE,IRNE,,IRNE
986534448282898432,,,,IRNE,IRNE,IRNE,,IRNE
989683883380789250,,,,IRNE,IRNE,IRNE,,IRNE
980217535864950784,,,,IRNE,IRNE,IRNE,,IRNE
983038029165195264,,,,IRNE,IRNE,IRNE,,IRNE
994205680289701889,,,,IRNE,IRNE,IMDS,,IRNE
1041400583406723074,,,,IRNE,IRNE,IRNE,,IRNE
990628206624505856,,,,IRNE,IRNE,IRNE,,IRNE
980506533372055553,,,,IRNE,IRNE,IRNE,,IRNE
979744428138082304,,,,IMDS,IMDS,IMDS,,IMDS
995659823957053440,,,,IMDS,IMDS,IMDS,,IMDS
981623136788582401,,,,IMDS,IRNE,IMDS,,IMDS
974723299744927751,,,,IRNE,IRNE,IRNE,,IRNE
995293643522170880,,,,IRNE,IRNE,IRNE,,IRNE
979131578986180610,,,,IMDS,IMDS,IMDS,,IMDS
981814112345837568,,,,IRNE,IRNE,IRNE,,IRNE
1022868472022409217,,,,IMDS,IMDS,IMDS,,IMDS
993428270698901504,,,,IRNE,IRNE,IRNE,,IRNE
989584288206245891,,,,IMDS,IMDS,IMDS,,IMDS
1005853002438184961,,,,IRNE,IRNE,IRNE,,IRNE
994187449424400384,,,,IRNE,IRNE,IRNE,,IRNE
979881551323385857,,,,IRNE,IRNE,IRNE,,IRNE
981596258711359495,,,,IRNE,IRNE,IRNE,,IRNE
981904333297070081,,,,IMDS,IMDS,IMDS,,IMDS
977839501899952130,,,,IRNE,IRNE,IRNE,,IRNE
988425866932875265,,,,IRNE,IRNE,IMDS,,IRNE
1037398609392816128,,,,IMDS,IMDS,IMDS,,IMDS
994949133705375745,,,,IRNE,IRNE,IRNE,,IRNE
1043883522744832000,,,,IRNE,IRNE,IMDS,,IRNE
979804523475632128,,,,IRNE,IRNE,IRNE,,IRNE
981979883764101120,,,,IRNE,IRNE,IRNE,,IRNE
1037416762894114816,,,,IMDS,IMDS,IMDS,,IMDS
994365496370827265,,,,IRNE,IRNE,IRNE,,IRNE
991917987421663232,,,,IRNE,IRNE,IRNE,,IRNE
979728158307037184,,,,IMDS,IMDS,IMDS,,IMDS
1022982971714879489,,,,IRNE,IRNE,IRNE,,IRNE
980114708010340352,,,,IMDS,IMDS,IMDS,,IMDS
984181496520085504,,,,IRNE,IRNE,IRNE,,IRNE
995069591469649922,,,,IRNE,IRNE,IRNE,,IRNE
999840492396449799,,,,IRNE,IRNE,IRNE,,IRNE
980743319167946754,,,,IRNE,IRNE,IRNE,,IRNE
984475334841196544,,,,IRNE,IRNE,IRNE,,IRNE
1001481956859744257,,,,IRNE,IRNE,IRNE,,IRNE
1005877953266319365,,,,IRNE,IRNE,IRNE,,IRNE
991284512649859072,,,,IMDS,IMDS,IMDS,,IMDS
1043598172025688065,,,,IRNE,IRNE,IRNE,,IRNE
984812745550979072,,,,IRNE,IRNE,IRNE,,IRNE
987835493864919040,,,,IRNE,IRNE,IRNE,,IRNE
980704999427723264,,,,IMDS,IMDS,IMDS,,IMDS
983954805977763840,,,,IRNE,IRNE,IRNE,,IRNE
988388178884284416,,,,IMDS,IMDS,IMDS,,IMDS
999444328664715264,,,,IRNE,IRNE,IRNE,,IRNE
1037412443872481283,,,,IRNE,IRNE,IRNE,,IRNE
1030528496307785739,,,,IRNE,IRNE,IMDS,,IRNE
977822433804804096,,,,IRNE,IRNE,IRNE,,IRNE
979763569712599041,,,,IMDS,IRNE,IMDS,,IMDS
1006007721882202112,,,,IRNE,IRNE,IRNE,,IRNE
980036155851919361,,,,IRNE,IRNE,IRNE,,IRNE
983394506660896770,,,,IRNE,IRNE,IRNE,,IRNE
994139646325153793,,,,IRNE,IRNE,IMDS,,IRNE
979802913454411778,,,,IRNE,IRNE,IRNE,,IRNE
999928547287420928,,,,IRNE,IRNE,IRNE,,IRNE
1014531788679544832,,,,IRNE,IRNE,IRNE,,IRNE
979755015723155456,,,,IMDS,IMDS,IMDS,,IMDS
1037351366912561153,,,,IRNE,IRNE,IRNE,,IRNE
995515789775200256,,,,IRNE,IRNE,IRNE,,IRNE
991034346684510210,,,,IRNE,IRNE,IRNE,,IRNE
980903542390063105,,,,IRNE,IRNE,IRNE,,IRNE
981532005698605057,,,,IMDS,IMDS,IMDS,,IMDS
989802110328983552,,,,IRNE,IRNE,IRNE,,IRNE
988144679207231488,,,,IRNE,IMDS,IMDS,,IMDS
988110479473209344,,,,IMDS,IRNE,IMDS,,IMDS
983408912350183425,,,,IRNE,IRNE,IRNE,,IRNE
988441561540255744,,,,IMDS,IRNE,IMDS,,IMDS
988834154983903233,,,,IRNE,IRNE,IRNE,,IRNE
980459299574108160,,,,IMDS,IMDS,IMDS,,IMDS
978110834592411649,,,,IRNE,IRNE,IRNE,,IRNE
981645299692265472,,,,IMDS,IRNE,IMDS,,IMDS
980844959455760386,,,,IRNE,IRNE,IRNE,,IRNE
986547752019603457,,,,IRNE,IRNE,IRNE,,IRNE
995270622312914950,,,,IMDS,IMDS,IMDS,,IMDS
994631975381192705,,,,IMFL,IMDS,IMDS,,IMDS
1044884080293228544,,,,IRNE,IRNE,IRNE,,IRNE
995373391078191104,,,,IRNE,IRNE,IRNE,,IRNE
981819400679559168,,,,IRNE,IRNE,IRNE,,IRNE
988431457667485698,,,,IMDS,IRNE,IMDS,,IMDS
1001204673242632193,,,,IRNE,IRNE,IMDS,,IRNE
984819117575327749,,,,IRNE,IRNE,IRNE,,IRNE
981532871319080960,,,,IMDS,IMDS,IMDS,,IMDS
1042369441529507840,,,,IRNE,IRNE,IRNE,,IRNE
1003290995931451392,,,,IRNE,IRNE,IRNE,,IRNE
997645571472199682,,,,IRNE,IRNE,IRNE,,IRNE
997578256567209984,,,,IRNE,IRNE,IRNE,,IRNE
979730249855401984,,,,IRNE,IRNE,IRNE,,IRNE
1042865325639905280,,,,IRNE,IRNE,IRNE,,IRNE
992406916214218753,,,,IRNE,IRNE,IRNE,,IRNE
979780183313080320,,,,IRNE,IRNE,IMDS,,IRNE
979396821993902080,,,,IRNE,IRNE,IRNE,,IRNE
994730611725295617,,,,IRNE,IRNE,IMDS,,IRNE
980907027999453187,,,,IMDS,IMDS,IMDS,,IMDS
994139057394536448,,,,IRNE,IRNE,IRNE,,IRNE
992893497790300160,,,,IRNE,IRNE,IRNE,,IRNE
970407325323464705,,,,IRNE,IRNE,IRNE,,IRNE
977967304565776384,,,,IRNE,IRNE,IRNE,,IRNE
974076478651551745,,,,IRNE,IRNE,IRNE,,IRNE
983300560853102592,,,,IRNE,IRNE,IRNE,,IRNE
987889067194044416,,,,IRNE,IRNE,IMDS,,IRNE
998297429987471360,,,,IRNE,IRNE,IRNE,,IRNE
990475978131550214,,,,IRNE,IMDS,IMDS,,IMDS
988123678759182336,,,,IMDS,IRNE,IMDS,,IMDS
983885893181296643,,,,IMDS,IMDS,IMDS,,IMDS
988133529857994753,,,,IMDS,IMDS,IMDS,,IMDS
990161008411979776,,,,IRNE,IRNE,IRNE,,IRNE
1039106223667388421,,,,IRNE,IRNE,IRNE,,IRNE
1041431012687925248,,,,IRNE,IRNE,IRNE,,IRNE
980915127653470208,,,,IMDS,IRNE,IMDS,,IMDS
988421070591021058,,,,IRNE,IRNE,IMDS,,IRNE
980839302434381826,,,,IRNE,IRNE,IRNE,,IRNE
988007911506006016,,,,IRNE,IRNE,IRNE,,IRNE
983412443253796864,,,,IMDS,IMDS,IMDS,,IMDS
995678322028957696,,,,IRNE,IMDS,IRNE,,IRNE
994984553885380609,,,,IMDS,IMDS,IMDS,,IMDS
998384181825687553,,,,IRNE,IRNE,IRNE,,IRNE
1001177085593968645,,,,IRNE,IRNE,IRNE,,IRNE
1040644580658569218,,,,IRNE,IRNE,IRNE,,IRNE
988389806907494401,,,,IMDS,IMDS,IMDS,,IMDS
992135375157112832,,,,IRNE,IRNE,IRNE,,IRNE
984751816876462080,,,,IMDS,IMDS,IMDS,,IMDS
990957857146392576,,,,IRNE,IRNE,IRNE,,IRNE
1001496013448925187,,,,IMDS,IMDS,IMDS,,IMDS
981580968413876225,,,,IRNE,IRNE,IMDS,,IRNE
992400938869633024,,,,IRNE,IRNE,IRNE,,IRNE
979692940271542275,,,,IRNE,IRNE,IRNE,,IRNE
988100812399415296,,,,IRNE,IRNE,IRNE,,IRNE
979698983995166720,,,,IRNE,IRNE,IRNE,,IRNE
1039644126810136576,,,,IRNE,IRNE,IRNE,,IRNE
981557219274653696,,,,IMDS,IMDS,IMDS,,IMDS
989529695774498816,,,,IRNE,IRNE,IRNE,,IRNE
994225976585474049,,,,IRNE,IRNE,IMDS,,IRNE
988115015025688576,,,,IMDS,IMDS,IMDS,,IMDS
991968294885384192,,,,IRNE,IRNE,IRNE,,IRNE
999852888590635013,,,,IRNE,IRNE,IRNE,,IRNE
988166441584283655,,,,IRNE,IRNE,IRNE,,IRNE
983680046996049920,,,,IRNE,IRNE,IRNE,,IRNE
989818439572381697,,,,IRNE,IRNE,IRNE,,IRNE
988786058321068033,,,,IRNE,IRNE,IRNE,,IRNE
995428394023219201,,,,IRNE,IRNE,IRNE,,IRNE
984177091502583808,,,,IMDS,IRNE,IMDS,,IMDS
1022142010650775553,,,,IRNE,IRNE,IRNE,,IRNE
1036316693721694208,,,,IRNE,IRNE,IRNE,,IRNE
979792575338024961,,,,IRNE,IRNE,IRNE,,IRNE
979763606056300546,,,,IMDS,IMDS,IMDS,,IMDS
995365989763174401,,,,IMDS,IMDS,IMDS,,IMDS
1044974243946135553,,,,IRNE,IRNE,IRNE,,IRNE
989182316198158337,,,,IRNE,IRNE,IMDS,,IRNE
999041082754297856,,,,IRNE,IRNE,IRNE,,IRNE
990173167317667841,,,,IRNE,IRNE,IRNE,,IRNE
992121421034909698,,,,IRNE,IRNE,IRNE,,IRNE
1045020118865113089,,,,IRNE,IRNE,IMDS,,IRNE
1034910926489767937,,,,IRNE,IRNE,IRNE,,IRNE
984788423973199872,,,,IMDS,IRNE,IMDS,,IMDS
977826878529658880,,,,IRNE,IRNE,IRNE,,IRNE
993385977262600192,,,,IRNE,IRNE,IRNE,,IRNE
1030115982709350402,,,,IRNE,IRNE,IRNE,,IRNE
1014269820861386763,,,,IRNE,IRNE,IRNE,,IRNE
998474529621110784,,,,IRNE,IRNE,IRNE,,IRNE
978247442738053120,,,,IRNE,IRNE,IRNE,,IRNE
1046514217321476097,,,,IRNE,IRNE,IRNE,,IRNE
999070857094926337,,,,IRNE,IRNE,IRNE,,IRNE
995469268526555136,,,,IMDS,IMDS,IMDS,,IMDS
988101726040453120,,,,IMDS,IMDS,IMDS,,IMDS
988124149481648129,,,,IMDS,IRNE,IMDS,,IMDS
1014978534941560832,,,,IRNE,IRNE,IRNE,,IRNE
990593865362083840,,,,IRNE,IRNE,IRNE,,IRNE
980200607687561222,,,,IMDS,IMDS,IMDS,,IMDS
994197614286589952,,,,IRNE,IRNE,IMDS,,IRNE
1021846391935692802,,,,IRNE,IRNE,IRNE,,IRNE
980688617948540928,,,,IRNE,IRNE,IRNE,,IRNE
983464417378668544,,,,IMDS,IMDS,IMDS,,IMDS
981667746038640640,,,,IRNE,IRNE,IMDS,,IRNE
994762358013747201,,,,IRNE,IRNE,IRNE,,IRNE
1001511458939854848,,,,IRNE,IRNE,IRNE,,IRNE
981256124178591744,,,,IRNE,IRNE,IRNE,,IRNE
995969039758446592,,,,IRNE,IRNE,IRNE,,IRNE
993804765367848961,,,,IRNE,IRNE,IRNE,,IRNE
1001532562366435328,,,,IRNE,IRNE,IRNE,,IRNE
1001654936051093504,,,,IRNE,IRNE,IRNE,,IRNE
998898413574991873,,,,IRNE,IRNE,IRNE,,IRNE
994315834028969991,,,,IRNE,IRNE,IMDS,,IRNE
979725008850300928,,,,IMDS,IMDS,IMDS,,IMDS
1033417610594004993,,,,IRNE,IRNE,IRNE,,IRNE
980055461503361025,,,,IRNE,IRNE,IRNE,,IRNE
991406979091484672,,,,IMDS,IMDS,IMDS,,IMDS
980217229265555458,,,,IRNE,IRNE,IRNE,,IRNE
1037294679488978945,,,,IRNE,IRNE,IRNE,,IRNE
1005871553018515457,,,,IRNE,IRNE,IRNE,,IRNE
979753621511385088,,,,IMDS,IMDS,IMDS,,IMDS
991944975607848961,,,,IRNE,IRNE,IRNE,,IRNE
1033765961004924929,,,,IMDS,IMDS,IMDS,,IMDS
980113944772861952,,,,IRNE,IRNE,IRNE,,IRNE
980196631571238912,,,,IRNE,IRNE,IMDS,,IRNE
981587920489537537,,,,IMDS,IMDS,IMDS,,IMDS
973255040621318145,,,,IRNE,IRNE,IRNE,,IRNE
998332193364742149,,,,IRNE,IRNE,IRNE,,IRNE
999080772299579392,,,,IRNE,IRNE,IRNE,,IRNE
993376105422905345,,,,IRNE,IRNE,IRNE,,IRNE
1005185694061551622,,,,IRNE,IRNE,IRNE,,IRNE
1022869660826566657,,,,IRNE,IRNE,IMDS,,IRNE
988171867516297216,,,,IMDS,IMDS,IMDS,,IMDS
979159693078794241,,,,IMDS,IMDS,IMDS,,IMDS
992164667559759873,,,,IRNE,IRNE,IRNE,,IRNE
988117272974774272,,,,IMDS,IMDS,IMDS,,IMDS
988155474888548352,,,,IRNE,IRNE,IRNE,,IRNE
979729985543041025,,,,IRNE,IRNE,IMDS,,IRNE
981613841263022081,,,,IRNE,IRNE,IRNE,,IRNE
979369243337723904,,,,IRNE,IRNE,IRNE,,IRNE
980056299676323840,,,,IRNE,IRNE,IRNE,,IRNE
981643043425193984,,,,IMDS,IRNE,IMDS,,IMDS
992141331316264961,,,,IRNE,IRNE,IRNE,,IRNE
979749982709444608,,,,IRNE,IMDS,IMDS,,IMDS
980514010972946438,,,,IRNE,IRNE,IRNE,,IRNE
994178567151013888,,,,IMDS,IRNE,IMDS,,IMDS
1005323766510088192,,,,IRNE,IRNE,IRNE,,IRNE
980143305110573061,,,,IRNE,IRNE,IRNE,,IRNE
984500306082873344,,,,IMDS,IMDS,IMDS,,IMDS
1022594128058753030,,,,IRNE,IRNE,IMDS,,IRNE
994905469188820997,,,,IRNE,IRNE,IRNE,,IRNE
1042334871270711297,,,,IRNE,IRNE,IRNE,,IRNE
988072454261215232,,,,IRNE,IRNE,IRNE,,IRNE
990152031934574594,,,,IMDS,IMDS,IMDS,,IMDS
980153484619190272,,,,IRNE,IRNE,IMDS,,IRNE
977926394566017030,,,,IMDS,IMDS,IMDS,,IMDS
1000612818775937024,,,,IRNE,IRNE,IRNE,,IRNE
979727349741752321,,,,IRNE,IRNE,IRNE,,IRNE
990255808503009280,,,,IRNE,IRNE,IRNE,,IRNE
987781557996933120,,,,IRNE,IRNE,IRNE,,IRNE
981578841746485250,,,,IRNE,IRNE,IMDS,,IRNE
979759650726916096,,,,IRNE,IRNE,IMDS,,IRNE
993453380193472514,,,,IMDS,IMDS,IMDS,,IMDS
989839014835445761,,,,IMDS,IMDS,IMDS,,IMDS
980149217267200000,,,,IMDS,IMDS,IMDS,,IMDS
981568795394310144,,,,IRNE,IRNE,IMDS,,IRNE
1037907452082176003,,,,IRNE,IRNE,IRNE,,IRNE
1031012129120219136,,,,IRNE,IRNE,IRNE,,IRNE
994953525158440960,,,,IRNE,IRNE,IRNE,,IRNE
1036699279430230017,,,,IRNE,IRNE,IRNE,,IRNE
984810134143754241,,,,IRNE,IRNE,IMDS,,IRNE
992400136033701888,,,,IRNE,IRNE,IRNE,,IRNE
1022097864196071424,,,,IRNE,IRNE,IRNE,,IRNE
997159930011488256,,,,IRNE,IRNE,IRNE,,IRNE
988389186444066816,,,,IMDS,IMDS,IMDS,,IMDS
990815377872621568,,,,IRNE,IRNE,IRNE,,IRNE
1037655612384006144,,,,IRNE,IRNE,IRNE,,IRNE
989822674825306112,,,,IMDS,IRNE,IMDS,,IMDS
994544867685650432,,,,IRNE,IRNE,IRNE,,IRNE
970334342462439429,,,,IMDS,IMDS,IMDS,,IMDS
1033475517779992577,,,,IRNE,IRNE,IRNE,,IRNE
980837774004715522,,,,IRNE,IRNE,IRNE,,IRNE
1022974195850985473,,,,IRNE,IRNE,IMDS,,IRNE
998397559734505472,,,,IRNE,IRNE,IRNE,,IRNE
1022903863949574145,,,,IMDS,IMDS,IMDS,,IMDS
979714343209140224,,,,IMDS,IMDS,IMDS,,IMDS
988395617826299904,,,,IRNE,IRNE,IRNE,,IRNE
1037057091935109120,,,,IRNE,IRNE,IRNE,,IRNE
979578718556508160,,,,IRNE,IMDS,IMDS,,IMDS
994654870648098816,,,,IRNE,IMDS,IRNE,,IRNE
977870672788586496,,,,IMDS,IMDS,IMDS,,IMDS
998196663222059008,,,,IRNE,IRNE,IRNE,,IRNE
998579755925540865,,,,IRNE,IRNE,IRNE,,IRNE
974774145455190018,,,,IRNE,IRNE,IRNE,,IRNE
989661195773857792,,,,IRNE,IRNE,IRNE,,IRNE
1037417105501683712,,,,IMDS,IMDS,IMDS,,IMDS
1005431166835544064,,,,IMDS,IMDS,IMDS,,IMDS
998702669735833601,,,,IRNE,IRNE,IRNE,,IRNE
979767839325327360,,,,IRNE,IRNE,IRNE,,IRNE
1022971066552147968,,,,IRNE,IRNE,IMDS,,IRNE
1035251656395501568,,,,IRNE,IRNE,IRNE,,IRNE
1046401689845149696,,,,IRNE,IRNE,IRNE,,IRNE
1035188402419838976,,,,IRNE,IRNE,IRNE,,IRNE
998614191211712512,,,,IRNE,IRNE,IRNE,,IRNE
995280941588328448,,,,IMDS,IMDS,IMDS,,IMDS
979746694949756930,,,,IMDS,IRNE,IMDS,,IMDS
983380026593873922,,,,IRNE,IRNE,IRNE,,IRNE
992153442251628547,,,,IRNE,IRNE,IRNE,,IRNE
981618375905415168,,,,IMDS,IMDS,IMDS,,IMDS
1046521782461755393,,,,IRNE,IRNE,IRNE,,IRNE
979307485378031616,,,,IRNE,IRNE,IRNE,,IRNE
999842438524162048,,,,IRNE,IRNE,IRNE,,IRNE
993813477323169792,,,,IRNE,IRNE,IRNE,,IRNE
983711209424859136,,,,IRNE,IRNE,IRNE,,IRNE
1038854744909987841,,,,IRNE,IRNE,IRNE,,IRNE
978012784276525057,,,,IRNE,IRNE,IRNE,,IRNE
995663932902821888,,,,IMDS,IMDS,IMDS,,IMDS
995308354321944576,,,,IRNE,IRNE,IRNE,,IRNE
999822154031038465,,,,IRNE,IRNE,IRNE,,IRNE
989530620740165643,,,,IMDS,IMDS,IMDS,,IMDS
994666192597110784,,,,IRNE,IRNE,IRNE,,IRNE
989863616529817606,,,,IRNE,IRNE,IRNE,,IRNE
979867790797656064,,,,IRNE,IRNE,IRNE,,IRNE
1041369603581136896,,,,IRNE,IRNE,IRNE,,IRNE
1037356725404397569,,,,IMDS,IRNE,IMDS,,IMDS
980688245758611456,,,,IRNE,IRNE,IRNE,,IRNE
977880292521402368,,,,IRNE,IRNE,IRNE,,IRNE
994172192991703040,,,,IRNE,IRNE,IRNE,,IRNE
1005471659669774338,,,,IRNE,IRNE,IRNE,,IRNE
991719845203935232,,,,IRNE,IRNE,IMDS,,IRNE
1014209128640675841,,,,IRNE,IRNE,IRNE,,IRNE
1044814426698854400,,,,IRNE,IRNE,IRNE,,IRNE
1030132760831254535,,,,IRNE,IRNE,IRNE,,IRNE
994410812386267136,,,,IRNE,IRNE,IMDS,,IRNE
1036653581649301505,,,,IRNE,IRNE,IRNE,,IRNE
989533038265716737,,,,IRNE,IRNE,IRNE,,IRNE
992468714657402880,,,,IRNE,IRNE,IRNE,,IRNE
979340643825803264,,,,IMDS,IMDS,IMDS,,IMDS
1044902136377683968,,,,IRNE,IRNE,IRNE,,IRNE
988845492607078400,,,,IRNE,IRNE,IRNE,,IRNE
994215740139024384,,,,IRNE,IRNE,IRNE,,IRNE
977969983203487744,,,,IRNE,IRNE,IRNE,,IRNE
979691857247694849,,,,IRNE,IMDS,IMDS,,IMDS
979761772222713856,,,,IRNE,IRNE,IRNE,,IRNE
1031259935013855234,,,,IRNE,IRNE,IRNE,,IRNE
993394439237308417,,,,IRNE,IRNE,IMDS,,IRNE
994676626813259776,,,,IMDS,IMDS,IMDS,,IMDS
988420638577750016,,,,IMDS,IMDS,IMDS,,IMDS
988923413917036544,,,,IRNE,IRNE,IRNE,,IRNE
983647579065012224,,,,IRNE,IRNE,IRNE,,IRNE
979121882950787072,,,,IRNE,IRNE,IRNE,,IRNE
988033308037648385,,,,IMDS,IMDS,IMDS,,IMDS
1046335549777350656,,,,IRNE,IRNE,IRNE,,IRNE
999080999693766657,,,,IRNE,IRNE,IRNE,,IRNE
979695266264682497,,,,IRNE,IRNE,IMDS,,IRNE
994145335646806016,,,,IRNE,IRNE,IRNE,,IRNE
1046177908132384768,,,,IRNE,IRNE,IRNE,,IRNE
1042079957416128512,,,,IMDS,IRNE,IMDS,,IMDS
979668149854441472,,,,IRNE,IRNE,IMDS,,IRNE
1022528201371910144,,,,IRNE,IRNE,IRNE,,IRNE
1032666784984391681,,,,IRNE,IRNE,IRNE,,IRNE
994713832701550593,,,,IRNE,IRNE,IMDS,,IRNE
994938465572851714,,,,IRNE,IRNE,IRNE,,IRNE
992090660218978304,,,,IRNE,IRNE,IRNE,,IRNE
1034928158045335553,,,,IRNE,IRNE,IRNE,,IRNE
979702306617769985,,,,IRNE,IRNE,IMDS,,IRNE
979391974376722432,,,,IRNE,IRNE,IRNE,,IRNE
1041482332933423104,,,,IRNE,IRNE,IRNE,,IRNE
992360739238236160,,,,IRNE,IRNE,IRNE,,IRNE
1043843143710507010,,,,IRNE,IRNE,IRNE,,IRNE
994229718953201665,,,,IRNE,IRNE,IMDS,,IRNE
994212758924259328,,,,IRNE,IRNE,IMDS,,IRNE
990304229595246592,,,,IRNE,IRNE,IRNE,,IRNE
998583762119163904,,,,IRNE,IRNE,IRNE,,IRNE
