,,,Annotator 1,,,Annotator 2,,,Annotator 3,,, Annotator Labels,,,,Labels Replacement,,,,
984051549981806592,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1041402266144727040,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
983038369692348416,,,IM,FL,,IR,NE,,IR,NE,,IMFL,IRNE,IRNE,,IMFL,IRNE,IRNE,,IRNE
1035547074270560256,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
998867161492983814,,,IR,NE,,WA,FL,,IM,FL,,IRNE,WAFL,IMFL,,IRNE,IRNE,IMFL,,IRNE
983058229344301056,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
982973377924255745,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
989532831830470658,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1005413380583280641,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1038008786479407104,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1023616229985185792,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1037404910285987840,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1029128240387031041,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1039595849985286144,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1000528825409835014,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1037723365501534208,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
998578678287257600,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1035931607750856705,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
990988997496311808,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
997471473995603968,,,IM,FL,,IM,DS,,IM,FL,,IMFL,IMDS,IMFL,,IMFL,IMDS,IMFL,,IMFL
983715661477236736,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1037411486065410049,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1022169871067631616,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1021849769851924480,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1044989446192541696,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1001116931410231296,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1023609505152749568,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
983705763238604800,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1001702682095243264,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
999058108805795840,,,IR,NE,,IM,FL,,IR,NE,,IRNE,IMFL,IRNE,,IRNE,IMFL,IRNE,,IRNE
990092704561410049,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1038090914324000768,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
990629295038099457,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1031226467949133824,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
983767321616506880,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1045409062358265856,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
983745237712588801,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
983705493955805184,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1035567894522994688,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1037240264816033792,,,WA,FL,,IM,FL,,IM,FL,,WAFL,IMFL,IMFL,,IRNE,IMFL,IMFL,,IMFL
998193394030661638,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
984750328913555457,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1000544537310367744,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
997744445297700864,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
997633120265523201,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
990229230461030400,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
980766708938964992,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1031238590796312577,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1037447177046552578,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1045774663887060993,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
999068632326995968,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1039593729735237632,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1039598593517211649,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1044983356583227392,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
984038012530110464,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1044604658365485056,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1037440941752311808,,,IR,NE,,IM,FL,,IR,NE,,IRNE,IMFL,IRNE,,IRNE,IMFL,IRNE,,IRNE
1031243279390715906,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
988027891693899777,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1044988690303528960,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
981919169364054017,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1031262621050306560,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
984391186457808896,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
989801961330544640,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1041326411775135744,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
993929902800941056,,,WA,FL,,WA,FL,,WA,FL,,WAFL,WAFL,WAFL,,IRNE,IRNE,IRNE,,IRNE
1022484780833746944,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1037408020723130374,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1040970479270592513,,,WA,FL,,IM,FL,,WA,FL,,WAFL,IMFL,WAFL,,IRNE,IMFL,IRNE,,IRNE
1037452473584238595,,,HI,FL,,HI,FL,,HI,FL,,HIFL,HIFL,HIFL,,IRNE,IRNE,IRNE,,IRNE
1005457894601609217,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1045358039316992001,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1042526550716018688,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1037392323137732614,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1023617270877224963,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1045361079600250880,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1004736222311452672,,,IM,DS,,IM,DS,,IM,DS,,IMDS,IMDS,IMDS,,IMDS,IMDS,IMDS,,IMDS
1037412836807462913,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
992400231152214016,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
991334406009819136,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1030517881518350336,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1037454648393822208,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1031222704379187200,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1042055968941637633,,,IM,FL,,IM,FL,,IR,NE,,IMFL,IMFL,IRNE,,IMFL,IMFL,IRNE,,IMFL
988161271777366018,,,IM,FL,,IM,FL,,IR,NE,,IMFL,IMFL,IRNE,,IMFL,IMFL,IRNE,,IMFL
1037375299162398720,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1038110523865358344,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1044983498958938115,,,IM,FL,,IM,FL,,IR,NE,,IMFL,IMFL,IRNE,,IMFL,IMFL,IRNE,,IMFL
983849690042159105,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1021874561904721923,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1005854298763333632,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
988592548179578881,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
989079884831117312,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
981890988284239872,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1045422278903762944,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
982966398493298690,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
997882289047646209,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1037352626721972225,,,WA,FL,,IM,FL,,WA,FL,,WAFL,IMFL,WAFL,,IRNE,IMFL,IRNE,,IRNE
1036989013952016384,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1031217606802530305,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
997665775640072198,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
983460370466660352,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
983764715351498752,,,WA,FL,,IR,NE,,WA,FL,,WAFL,IRNE,WAFL,,IRNE,IRNE,IRNE,,IRNE
1044976385339662336,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1037430061429866497,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1029446784844750850,,,IM,FL,,IM,FL,,IR,NE,,IMFL,IMFL,IRNE,,IMFL,IMFL,IRNE,,IMFL
1038521417942355968,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
981178807292850176,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1031226462504984579,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
983834780075790336,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1039569440151678976,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1037995089891610625,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1000633182759325696,,,IM,FL,,IM,FL,,WA,FL,,IMFL,IMFL,WAFL,,IMFL,IMFL,IRNE,,IMFL
984875532151123968,,,IR,NE,,IM,FL,,IR,NE,,IRNE,IMFL,IRNE,,IRNE,IMFL,IRNE,,IRNE
993919509227503617,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1045421395126235138,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1045402200833445891,,,IM,FL,,IM,FL,,IR,NE,,IMFL,IMFL,IRNE,,IMFL,IMFL,IRNE,,IMFL
1031260502448635904,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
984102261281484800,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1037451289179901954,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1041374637140189191,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1039230174955536386,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1045866924704505857,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
